CAP,time
45,3.80
80,2.08
90,1.91
95,1.80
65,2.68
25,8.45
70,2.36
60,2.88
75,2.20
30,6.61
50,3.38
40,4.46
85,2.02
55,3.12
10,22.33
35,6.37
100,2.13
15,16.04
20,10.76
75,2.98
25,8.71
10,26.55
45,4.98
80,2.71
95,2.24
20,11.27
60,3.19
40,5.45
15,13.65
35,6.65
30,8.88
85,2.12
70,2.71
65,3.11
100,2.25
50,4.41
55,3.78
90,2.05
85,2.19
95,2.65
30,6.75
75,3.33
65,3.55
25,10.50
15,16.57
10,25.25
70,2.49
80,2.09
45,3.79
20,9.67
55,3.18
35,4.83
40,4.38
60,2.92
100,1.74
50,3.53
90,1.95
85,2.07
95,1.89
90,1.93
80,2.16
45,3.66
60,2.95
10,22.46
15,13.57
55,3.18
50,3.55
20,9.46
30,5.97
70,2.79
75,2.43
65,3.28
40,5.05
25,8.34
35,5.76
100,2.64
55,3.05
15,13.36
20,9.68
75,2.29
45,3.86
60,3.04
85,2.99
90,2.36
65,2.95
100,2.01
50,3.73
25,7.62
95,1.82
80,2.34
10,24.62
30,7.05
40,5.09
35,5.57
70,2.54
50,3.90
10,23.62
15,13.77
80,2.40
100,1.85
65,2.95
30,5.96
70,2.46
95,1.99
40,5.01
25,8.07
75,2.58
35,5.55
90,2.08
85,2.43
45,4.39
55,3.75
20,11.06
60,3.28
15,15.33
45,3.88
20,9.55
75,2.36
55,3.68
80,2.56
40,4.65
25,8.35
10,24.26
35,5.17
50,3.77
90,1.99
70,2.91
30,7.04
100,1.83
65,2.99
85,2.21
95,1.99
60,2.87
60,3.11
10,24.75
75,3.15
20,10.91
90,2.12
15,15.20
50,3.78
95,1.84
40,4.49
25,8.63
65,3.13
55,3.46
100,2.07
85,2.37
80,2.47
45,4.10
35,5.67
30,6.34
70,2.58
45,4.15
20,10.25
15,15.87
35,5.38
100,1.96
70,2.78
90,2.42
10,23.25
25,7.78
30,6.17
50,4.26
95,2.25
80,2.41
75,2.53
40,4.74
60,3.10
65,3.04
85,2.22
55,3.03
15,14.00
90,1.99
65,2.75
20,9.75
55,3.09
70,2.53
85,2.09
10,21.13
75,2.28
50,3.38
80,2.14
25,7.51
60,2.86
100,1.75
45,3.78
35,4.97
30,6.54
40,4.67
95,1.87
